sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
31423847659,2021-03-22T01:01:30Z,53,13,15,25,28,64,0.19152854511970535
31414038852,2021-03-21T07:02:30Z,81,19,16,46,52,64,0.11396303901437371
31402433252,2021-03-20T07:31:30Z,69,18,12,39,60,62,0.12755102040816327
31389699511,2021-03-19T06:52:30Z,85,20,19,46,46,63,0.13886300093196646
31374022197,2021-03-18T07:05:30Z,78,19,15,44,71,64,0.13000890471950133
31359346208,2021-03-17T07:46:30Z,66,20,12,34,43,62,0.09446693657219973
31341349245,2021-03-16T06:11:30Z,82,18,22,42,56,64,0.08953488372093023
31329305591,2021-03-15T07:33:30Z,82,18,20,44,42,66,0.09849157054125998
31315208811,2021-03-14T07:43:30Z,80,17,18,45,45,66,0.10267857142857142
31301117251,2021-03-13T06:13:30Z,63,18,12,33,78,64,0.10750279955207166
31288810043,2021-03-12T06:38:30Z,79,21,13,45,47,62,0.1215311004784689
31273830636,2021-03-11T06:44:30Z,77,15,19,43,23,62,0.10179076343072573
31260803063,2021-03-10T06:49:30Z,77,19,14,44,88,59,0.11631799163179916
31246283070,2021-03-09T06:42:30Z,82,18,19,45,36,60,0.12421242124212421
31232579010,2021-03-08T06:25:30Z,84,17,21,46,53,61,0.09230769230769231
31219728831,2021-03-07T07:06:00Z,81,15,22,44,23,62,0.07163601161665054
31206124949,2021-03-06T07:14:00Z,69,19,10,40,46,60,0.15494393476044852
31193073726,2021-03-05T06:35:30Z,84,18,20,46,49,60,0.09146968139773895
31181346087,2021-03-04T07:08:30Z,80,20,19,41,46,60,0.08343265792610251
31167415601,2021-03-03T06:59:30Z,84,19,20,45,74,61,0.10714285714285714
31152769317,2021-03-02T07:07:30Z,87,20,21,46,43,62,0.10256410256410256
31133814461,2021-03-01T06:07:30Z,84,18,20,46,50,63,0.07149666348903717
31120547618,2021-02-28T06:57:30Z,51,17,10,24,60,62,0.16646115906288533
31107174828,2021-02-27T06:52:30Z,75,16,19,40,51,61,0.07772020725388601
31093767705,2021-02-26T06:21:30Z,87,21,20,46,76,63,0.10420650095602295
31081354026,2021-02-25T06:56:30Z,77,20,13,44,51,61,0.1285591026747196
31067355901,2021-02-24T06:36:30Z,85,21,18,46,57,61,0.10019646365422397
31049820827,2021-02-23T06:03:30Z,70,15,20,35,30,62,0.11019929660023446
31035636913,2021-02-22T06:52:30Z,80,16,20,44,49,64,0.10088781275221953
31022025413,2021-02-21T08:10:30Z,71,17,11,43,91,62,0.15013169446883232
31008239495,2021-02-20T07:20:30Z,68,18,11,39,76,60,0.12669683257918551
30994229226,2021-02-19T06:04:30Z,83,18,19,46,56,59,0.08144329896907217
30978525323,2021-02-18T06:12:30Z,77,16,20,41,45,60,0.11713665943600868
30966645745,2021-02-17T07:09:30Z,85,21,19,45,93,61,0.14160070360598065
30953032216,2021-02-16T07:03:30Z,86,20,21,45,53,62,0.10287303058387395
30940131619,2021-02-15T06:54:30Z,87,20,21,46,36,63,0.1015843429636533
30927166685,2021-02-14T07:29:00Z,87,20,20,47,31,63,0.08038585209003216
30913251453,2021-02-13T07:49:30Z,83,21,20,42,58,63,0.08304498269896193
30899490478,2021-02-12T07:32:30Z,82,20,18,44,79,62,0.09271523178807947
30886253339,2021-02-11T07:25:30Z,77,18,19,40,49,62,0.12134344528710726
30872871771,2021-02-10T07:20:00Z,86,20,20,46,42,62,0.10432330827067669
30857154854,2021-02-09T06:37:30Z,83,17,20,46,32,64,0.10989010989010989
30843594374,2021-02-08T06:47:00Z,82,21,15,46,63,62,0.08221993833504625
30829399865,2021-02-07T07:14:30Z,85,20,19,46,82,63,0.08204633204633205
30814840612,2021-02-06T06:28:30Z,63,17,13,33,53,61,0.08061749571183534
30803114739,2021-02-05T07:22:30Z,79,19,16,44,71,59,0.08227228207639568
30788725592,2021-02-04T06:00:30Z,84,20,21,43,38,60,0.08484848484848485
